system,config_name,method,seed,metric,value
lorenz,smoke_lorenz,Taylor N=12,101,r0_5s,11.547289818146544
lorenz,smoke_lorenz,Taylor N=12,1,r1s,25.167145050763327
lorenz,smoke_lorenz,Taylor N=12,42,r1s,11.046282678787094
lorenz,smoke_lorenz,Taylor N=12,101,r1s,15.864738088095047
lorenz,smoke_lorenz,GMM N=12,1,one_step,1.191004192998817
lorenz,smoke_lorenz,GMM N=12,42,one_step,0.7690458725309501
lorenz,smoke_lorenz,GMM N=12,101,one_step,0.5928999028191405
lorenz,smoke_lorenz,GMM N=12,1,rel_pct,171.7490802576821
lorenz,smoke_lorenz,GMM N=12,42,rel_pct,85.0088744121386
lorenz,smoke_lorenz,GMM N=12,101,rel_pct,66.67438986346339
lorenz,smoke_lorenz,GMM N=12,1,r0_5s,14.982809061350238
lorenz,smoke_lorenz,GMM N=12,42,r0_5s,18.43330533386347
lorenz,smoke_lorenz,GMM N=12,101,r0_5s,14.6031565971763
lorenz,smoke_lorenz,GMM N=12,1,r1s,26.851540967010646
lorenz,smoke_lorenz,GMM N=12,42,r1s,14.922547985478424
lorenz,smoke_lorenz,GMM N=12,101,r1s,18.23642661471909
lorenz,smoke_lorenz,Local-EDMD-disc N=5,1,one_step,0.37546836772631154
lorenz,smoke_lorenz,Local-EDMD-disc N=5,42,one_step,0.6085421953687763
lorenz,smoke_lorenz,Local-EDMD-disc N=5,101,one_step,0.1114951268668393
lorenz,smoke_lorenz,Local-EDMD-disc N=5,1,rel_pct,54.144517040261356
lorenz,smoke_lorenz,Local-EDMD-disc N=5,42,rel_pct,67.26710188345687
lorenz,smoke_lorenz,Local-EDMD-disc N=5,101,rel_pct,12.53815276617375
lorenz,smoke_lorenz,Local-EDMD-disc N=5,1,r0_5s,4.014264644079172
lorenz,smoke_lorenz,Local-EDMD-disc N=5,42,r0_5s,1.0510786244467794
lorenz,smoke_lorenz,Local-EDMD-disc N=5,101,r0_5s,2.7414832753386364
lorenz,smoke_lorenz,Local-EDMD-disc N=5,1,r1s,6.0929974587929925
lorenz,smoke_lorenz,Local-EDMD-disc N=5,42,r1s,15.365150137212245
lorenz,smoke_lorenz,Local-EDMD-disc N=5,101,r1s,2.0202050554524718
lorenz,smoke_lorenz,Local-EDMD-disc N=12,1,one_step,0.06797544121406199
lorenz,smoke_lorenz,Local-EDMD-disc N=12,42,one_step,0.06652396387639434
lorenz,smoke_lorenz,Local-EDMD-disc N=12,101,one_step,0.3764668627407046
lorenz,smoke_lorenz,Local-EDMD-disc N=12,1,rel_pct,9.80241679857535
lorenz,smoke_lorenz,Local-EDMD-disc N=12,42,rel_pct,7.353432990875927
lorenz,smoke_lorenz,Local-EDMD-disc N=12,101,rel_pct,42.335473926878805
lorenz,smoke_lorenz,Local-EDMD-disc N=12,1,r0_5s,1.0519238872709393
lorenz,smoke_lorenz,Local-EDMD-disc N=12,42,r0_5s,0.4558790380132874
lorenz,smoke_lorenz,Local-EDMD-disc N=12,101,r0_5s,0.021730794738070165
lorenz,smoke_lorenz,Local-EDMD-disc N=12,1,r1s,4.1377593222809415
lorenz,smoke_lorenz,Local-EDMD-disc N=12,42,r1s,1.8123608994457052
lorenz,smoke_lorenz,Local-EDMD-disc N=12,101,r1s,0.05149020954167592
pendulum,smoke_pendulum,EDMD-disc deg=2,1,one_step,0.11628349123916536
pendulum,smoke_pendulum,EDMD-disc deg=2,42,one_step,0.13325701937180517
pendulum,smoke_pendulum,EDMD-disc deg=2,101,one_step,0.1441478459141868
pendulum,smoke_pendulum,EDMD-disc deg=2,1,r1s,0.9871673970595906
pendulum,smoke_pendulum,EDMD-disc deg=2,42,r1s,1.3319642457090197
pendulum,smoke_pendulum,EDMD-disc deg=2,101,r1s,1.1569495157152259
pendulum,smoke_pendulum,EDMD-disc deg=2,1,r5s,1.8201256247786202
pendulum,smoke_pendulum,EDMD-disc deg=2,42,r5s,2.4553060441996406
pendulum,smoke_pendulum,EDMD-disc deg=2,101,r5s,2.1205512646582325
pendulum,smoke_pendulum,Local-EDMD-disc N=2,1,one_step,0.11881807990719662
pendulum,smoke_pendulum,Local-EDMD-disc N=2,42,one_step,0.10255233493609978
pendulum,smoke_pendulum,Local-EDMD-disc N=2,101,one_step,0.16030200668277794
pendulum,smoke_pendulum,Local-EDMD-disc N=2,1,r1s,0.7024086318832636
pendulum,smoke_pendulum,Local-EDMD-disc N=2,42,r1s,0.38800768806331754
pendulum,smoke_pendulum,Local-EDMD-disc N=2,101,r1s,0.4128826385057181
pendulum,smoke_pendulum,Local-EDMD-disc N=2,1,r5s,1.1911398965618645
pendulum,smoke_pendulum,Local-EDMD-disc N=2,42,r5s,2.4664593403956845
pendulum,smoke_pendulum,Local-EDMD-disc N=2,101,r5s,1.6465360745618525
pendulum,smoke_pendulum,Local-EDMD-disc N=4,1,one_step,0.0009370768459392676
pendulum,smoke_pendulum,Local-EDMD-disc N=4,42,one_step,0.0010929223986248118
pendulum,smoke_pendulum,Local-EDMD-disc N=4,101,one_step,0.13817606801919652
pendulum,smoke_pendulum,Local-EDMD-disc N=4,1,r1s,0.0083854838686124
pendulum,smoke_pendulum,Local-EDMD-disc N=4,42,r1s,0.017602868855425224
pendulum,smoke_pendulum,Local-EDMD-disc N=4,101,r1s,0.16478640843340098
pendulum,smoke_pendulum,Local-EDMD-disc N=4,1,r5s,0.11443691666342437
pendulum,smoke_pendulum,Local-EDMD-disc N=4,42,r5s,0.3640350940535192
pendulum,smoke_pendulum,Local-EDMD-disc N=4,101,r5s,1.1797926963814305
pendulum,smoke_pendulum,Taylor-analytic N=2,1,one_step,1.0299977249632406
pendulum,smoke_pendulum,Taylor-analytic N=2,42,one_step,0.3986593643088244
pendulum,smoke_pendulum,Taylor-analytic N=2,101,one_step,0.8569298167706247
pendulum,smoke_pendulum,Taylor-analytic N=2,1,r1s,0.6373029764313116
pendulum,smoke_pendulum,Taylor-analytic N=2,42,r1s,0.44256055585975684
pendulum,smoke_pendulum,Taylor-analytic N=2,101,r1s,0.6388740827843933
pendulum,smoke_pendulum,Taylor-analytic N=2,1,r5s,1.0748185894141682
pendulum,smoke_pendulum,Taylor-analytic N=2,42,r5s,0.8031314817295205
pendulum,smoke_pendulum,Taylor-analytic N=2,101,r5s,1.0758401685076038
pendulum,smoke_pendulum,Taylor-analytic N=4,1,one_step,0.06909316732613698
pendulum,smoke_pendulum,Taylor-analytic N=4,42,one_step,0.08108896082900272
pendulum,smoke_pendulum,Taylor-analytic N=4,101,one_step,0.1137203445280819
pendulum,smoke_pendulum,Taylor-analytic N=4,1,r1s,0.11001021616804903
pendulum,smoke_pendulum,Taylor-analytic N=4,42,r1s,0.06252676339036853
pendulum,smoke_pendulum,Taylor-analytic N=4,101,r1s,0.13890990827313177
pendulum,smoke_pendulum,Taylor-analytic N=4,1,r5s,1.0247257180304992
pendulum,smoke_pendulum,Taylor-analytic N=4,42,r5s,0.2088350930193937
pendulum,smoke_pendulum,Taylor-analytic N=4,101,r5s,1.034489698494762
